"X" "Y" "Z" "freq"
1 1 1 62
2 1 1 7
3 1 1 4
1 2 1 7
2 2 1 0
3 2 1 0
1 3 1 5
2 3 1 0
3 3 1 0
1 1 1 1
2 1 1 12
3 1 1 0
1 2 1 13
2 2 1 61
3 2 1 14
1 3 1 0
2 3 1 13
3 3 1 1
1 1 1 2
2 1 1 2
3 1 1 6
1 2 1 1
2 2 1 1
3 2 1 10
1 3 1 9
2 3 1 17
3 3 1 50
1 1 2 2354
2 1 2 124
3 1 2 118
1 2 2 330
2 2 2 15
3 2 2 19
1 3 2 289
2 3 2 18
3 3 2 20
1 1 2 28
2 1 2 240
3 1 2 34
1 2 2 270
2 2 2 2044
3 2 2 280
1 3 2 21
2 3 2 259
3 3 2 35
1 1 2 48
2 1 2 55
3 1 2 238
1 2 2 51
2 2 2 51
3 2 2 228
1 3 2 400
2 3 2 367
3 3 2 1766
